Game ID,Home Team,Home Shots,Home Shots Used,Home CHAD,Away Team,Away Shots,Away Shots Used,Away CHAD
0021500001,ATL,82,66,264.1148021741558,DET,96,84,247.07471129036517
0021500002,CHI,87,78,266.91991643352196,CLE,94,86,251.50057251392104
0021500003,GSW,96,93,317.05446583742753,NOP,83,79,281.13063408333585
0021500004,ORL,100,51,204.50152660397052,WAS,84,30,204.98513197452715
0021500005,BOS,85,76,313.7402644761833,PHI,83,76,288.55147894361176
0021500007,DET,74,65,276.53645930214077,UTA,75,65,250.90848330026273
0021500009,TOR,80,42,254.8986346078591,IND,86,39,262.4171154967276
0021500011,MEM,82,74,259.99997169501296,CLE,84,68,275.5555412013726
0021500012,MIL,86,54,220.02424210403467,NYK,93,64,192.45053749776872
0021500015,POR,88,67,269.705982609193,NOP,91,75,213.08199516376217
0021500016,SAC,94,78,255.6534864099091,LAC,80,73,272.96883418119256
0021500017,LAL,90,83,232.0760811111091,MIN,83,77,274.74119194942756
0021500019,NYK,93,89,297.31956128031703,ATL,83,82,301.64458390819726
0021500020,LAC,87,84,240.7468882160088,DAL,97,94,267.33805002452436
0021500021,CLE,86,35,261.17511167762757,MIA,77,29,269.4987611231029
0021500022,ORL,106,13,198.99121257808162,OKC,110,7,220.27184249080287
0021500023,PHI,63,10,200.68685855737246,UTA,88,5,239.7590065231531
0021500024,BOS,85,65,239.9372339194496,TOR,82,71,233.49974809344855
0021500025,DET,104,90,260.711610053937,CHI,84,70,275.61411136356344
0021500026,ATL,83,64,189.4469004327246,CHA,88,75,190.14700106688562
0021500027,MIL,82,29,195.10598288172793,WAS,68,18,230.25736619519725
0021500028,SAS,86,5,234.61708673017333,BKN,77,1,323.0840990983156
0021500029,DEN,95,92,241.1847606711492,MIN,71,69,200.52481395695958
0021500031,SAC,101,58,213.51466119986105,LAL,89,43,234.99171479796433
0021500032,PHX,83,39,182.24724194616294,POR,86,47,218.74371974479948
0021500033,IND,70,22,250.79452705079973,UTA,88,48,205.897433357851
0021500034,WAS,90,5,206.75219730901728,NYK,86,8,166.32244846199592
0021500035,NOP,100,46,243.34587005637914,GSW,84,34,316.6282667969586
0021500036,MEM,80,38,211.4832972848006,BKN,79,36,215.8345932217025
0021500037,POR,79,54,240.51082894987934,PHX,94,68,232.47911533931253
0021500038,LAC,76,64,259.3794714174237,SAC,101,84,270.3752088775253
0021500040,BOS,98,0,,SAS,83,0,
0021500041,MIA,86,63,257.55686974411975,HOU,79,56,277.2744129219032
0021500042,TOR,90,50,193.27621404766694,MIL,69,37,186.45767963801217
0021500043,CHI,87,42,166.775189505732,ORL,90,42,220.99110250661565
0021500044,OKC,86,78,311.6743222567211,DEN,92,86,309.29550904442783
0021500045,LAL,85,67,226.15032116318315,DAL,87,75,244.38798635985208
0021500046,PHI,85,0,,CLE,81,0,
0021500047,BKN,79,60,182.4330570865088,MIL,73,58,209.37890454662266
0021500048,NYK,89,87,294.642079230258,SAS,79,78,293.40092560425586
0021500049,HOU,89,8,199.24925508371277,OKC,84,8,256.042845365779
0021500050,MIN,79,0,,POR,89,0,
0021500052,LAC,81,0,,PHX,98,0,
0021500053,CHA,91,84,250.19181176719007,CHI,90,82,225.71423020459525
0021500055,MIA,86,61,212.27259633150163,ATL,90,65,261.2762860810695
0021500056,NOP,90,17,167.53327840400522,ORL,90,23,205.8709883575168
0021500057,DAL,86,0,,TOR,82,1,164.14198665721895
0021500059,LAL,86,41,194.47585954925364,DEN,85,47,260.12228464457735
0021500061,WAS,87,0,,SAS,81,0,
0021500062,ATL,76,27,242.81014967916906,BKN,83,26,283.26054283415675
0021500063,CLE,83,2,1074.5077595217606,NYK,84,0,
0021500064,HOU,88,6,223.54924282099253,ORL,91,3,586.5473761385032
0021500065,MIL,86,0,,PHI,81,0,
0021500066,OKC,82,80,288.9257022400424,TOR,79,78,318.58140936027195
0021500067,PHX,83,14,188.80096357060756,SAC,84,4,206.1660117540759
0021500068,UTA,88,74,277.2536533735278,POR,77,59,290.50775958663183
0021500070,CHI,90,13,236.95845671742865,OKC,84,14,162.3663795553007
0021500071,MIN,85,32,300.70038594644666,MIA,76,43,216.51843152588913
0021500074,POR,87,40,247.61350654977815,MEM,77,32,159.2923739679401
0021500075,ORL,77,0,,TOR,86,0,
0021500077,BKN,93,30,195.16313612305458,LAL,78,29,227.84912866056618
0021500078,CLE,88,0,,PHI,79,1,131.53578799461303
0021500079,NYK,81,78,298.1289270543159,MIL,81,81,323.36799494965805
0021500080,IND,80,0,,MIA,81,0,
0021500081,NOP,84,6,177.46920345007064,ATL,77,6,393.90588333954776
0021500082,PHX,92,6,230.00212833630295,DET,74,4,182.08254427770265
0021500085,CHI,93,7,231.6732092768535,MIN,96,10,264.60481445191016
0021500086,ATL,92,5,325.4470453021082,WAS,78,3,201.58646084678938
0021500087,PHI,80,5,215.61225732550957,ORL,83,4,259.0750030864856
0021500088,DAL,84,61,192.46579027452077,NOP,86,58,196.97241616071923
0021500089,MIL,82,1,117.109104225284,BKN,82,0,
0021500090,SAS,81,1,312.5517065552643,CHA,73,1,658.8266242855512
0021500092,SAC,87,7,211.99964350139015,GSW,92,13,281.35529873272037
0021500093,LAC,88,39,253.876809102716,HOU,86,34,318.88144007389025
0021500094,CLE,83,57,257.31428019818156,IND,90,65,259.30870031309735
0021500095,NYK,84,82,265.7732842780059,LAL,94,89,278.12304466082423
0021500098,POR,76,58,252.5130067464373,DET,96,76,237.979714967777
0021500099,IND,77,74,266.4652307710365,ORL,78,72,217.24109265665876
0021500102,DEN,77,73,238.70446170551915,POR,91,81,265.30020290054426
0021500103,SAC,84,62,258.80988440149923,SAS,87,70,261.7748900330077
0021500105,LAC,68,58,321.67579227636213,MEM,80,63,311.88815831035237
