Game ID,Home Team,Home Shots,Home Shots Used,Home CHAD,Away Team,Away Shots,Away Shots Used,Away CHAD
21500001,ATL,82,82,270.9010227,DET,96,95,247.3500264
21500002,CHI,87,82,267.8263234,CLE,94,90,250.7789856
21500003,GSW,96,96,315.8731148,NOP,83,81,283.0164603
21500004,ORL,100,54,231.5571421,WAS,84,32,189.6676955
21500005,BOS,85,85,303.6496655,PHI,83,83,284.3292569
21500007,DET,74,74,269.749093,UTA,75,75,256.3749953
21500009,TOR,80,80,257.2474613,IND,86,86,263.9885194
21500010,HOU,87,67,218.5440179,DEN,79,70,311.0462596
21500011,MEM,82,81,260.956476,CLE,84,84,286.0151875
21500012,MIL,86,59,228.2060582,NYK,93,65,197.129534
21500013,OKC,86,86,296.9428841,SAS,93,92,285.0696072
21500015,POR,88,87,274.3522307,NOP,91,88,222.5039226
21500016,SAC,94,84,259.6357184,LAC,80,77,288.2459319
21500017,LAL,90,88,238.754427,MIN,83,83,272.6227625
21500018,IND,78,48,189.4920961,MEM,82,59,180.9596203
21500019,NYK,93,92,298.8074571,ATL,83,83,301.2695311
21500020,LAC,87,84,240.5742137,DAL,97,95,267.4439883
21500021,CLE,86,35,263.1789443,MIA,77,31,275.9557877
21500022,ORL,106,14,226.3637707,OKC,110,8,275.68273
21500023,PHI,63,12,205.3742769,UTA,88,6,310.9533826
21500024,BOS,85,69,238.6049947,TOR,82,73,241.7220329
21500025,DET,104,95,265.7158692,CHI,84,81,276.8687051
21500026,ATL,83,66,205.4253626,CHA,88,77,188.2205222
21500027,MIL,82,31,207.6541437,WAS,68,19,241.1607832
21500028,SAS,86,5,234.6170867,BKN,77,1,323.0840991
21500029,DEN,95,92,242.156637,MIN,71,71,201.5595821
21500031,SAC,101,58,213.9789804,LAL,89,49,248.1653943
21500032,PHX,83,43,198.4639037,POR,86,48,222.304192
21500033,IND,70,25,238.4684915,UTA,88,48,208.9706262
21500034,WAS,90,5,195.2748951,NYK,86,8,175.0651465
21500035,NOP,100,48,242.1446094,GSW,84,35,316.7463889
21500036,MEM,80,79,217.7039131,BKN,79,76,226.8641185
21500037,POR,79,59,255.4268891,PHX,94,75,232.9424445
21500038,LAC,76,66,260.1563376,SAC,101,89,276.3472176
21500039,CHA,86,84,275.3275466,ATL,88,88,246.7020995
21500040,BOS,98,52,251.434665,SAS,83,58,218.5184356
21500041,MIA,86,64,259.9345938,HOU,79,57,283.9646734
21500042,TOR,90,69,196.5890783,MIL,69,48,181.1652203
21500043,CHI,87,44,168.4577399,ORL,90,44,216.263738
21500044,OKC,86,86,296.7611235,DEN,92,92,287.7496716
21500045,LAL,85,67,229.2637017,DAL,87,75,244.1773552
21500046,PHI,85,74,255.3684505,CLE,81,68,240.2499191
21500047,BKN,79,62,181.2621073,MIL,73,58,213.1656518
21500048,NYK,89,89,288.6190718,SAS,79,79,288.1903942
21500049,HOU,89,8,255.089509,OKC,84,12,242.5424934
21500050,MIN,79,58,222.2555893,POR,89,66,268.7073369
21500051,GSW,84,83,326.1957946,MEM,96,95,283.6852093
21500052,LAC,81,61,321.8582384,PHX,98,68,309.5081861
21500053,CHA,91,88,254.1404945,CHI,90,85,229.0297244
21500054,DET,86,74,242.5975995,IND,88,76,250.7410022
21500055,MIA,86,62,213.1887715,ATL,90,67,259.704805
21500056,NOP,90,19,220.6845069,ORL,90,24,207.4937373
21500057,DAL,86,0,,TOR,82,1,164.1419867
21500058,SAC,74,20,321.1608434,MEM,83,42,286.6132551
21500059,LAL,86,41,194.6679787,DEN,85,48,263.4499645
21500060,IND,91,2,410.544361,BOS,83,1,244.305933
21500061,WAS,87,0,,SAS,81,0,
21500062,ATL,76,29,262.2760485,BKN,83,26,283.658308
21500063,CLE,83,2,1074.50776,NYK,84,0,
21500064,HOU,88,6,243.3783408,ORL,91,3,586.5473761
21500065,MIL,86,1,261.8845759,PHI,81,1,105.0287658
21500066,OKC,82,81,288.302045,TOR,79,78,318.3061563
21500067,PHX,83,15,226.0565186,SAC,84,4,206.1660118
21500068,UTA,88,87,273.0460077,POR,77,77,292.8014937
21500069,GSW,85,85,357.3253002,LAC,88,88,339.1789109
21500070,CHI,90,16,228.7213683,OKC,84,14,163.3123149
21500071,MIN,85,32,295.0912665,MIA,76,45,225.2598987
